IDENT_MEN;pond_menC;JNBVEH;JNBVHS;JNBVPHS;JNBCCHS;JNBVULHS;JNBMOTO;JNBCYCLO;JNBAUTVEH;JNBVELOAD;JNBVELOENF;JUTILMOTO;JUTILCYCLO;JUTILAUTVEH;JUTILVELOAD;JUTILVELOENF;JVOLVELO;JPLUSVELO;JNBKVM;JUTIL2RM;BLOGDIST
1100001564000;2484.4350198;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001567000;1890.0850986;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001613000;4539.8875095;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001618000;1508.9342926;1;1;0;0;0;0;0;0;0;2;;;;;2;2;;1;0;1
1100001624000;2304.8680296;2;2;;;;0;0;0;0;4;;;;;4;2;;2;0;1
1100001625000;1612.0377993;1;2;;;;1;0;0;1;0;0;;;1;;2;;1;0;1
1100001626000;1750.2120705;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;4
1100001633000;5066.1572673;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001634000;4578.9439364;1;2;;;;0;0;0;2;0;;;;0;;2;;1;0;1
1100001635000;1040.5359876;4;2;;;;0;0;0;4;1;;;;1;0;2;;4;0;1
1100001643000;2943.4799815;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001644000;2716.2407635;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001646000;3236.2406786;3;2;;;;0;0;0;0;0;;;;;;2;;3;0;2
1100001658000;2285.1331686;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;2
1100001663000;3498.0021696;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100001667000;2026.5276394;1;2;;;;0;0;0;2;0;;;;0;;2;;1;0;1
1100001668000;2126.8121236;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001713000;3426.0339395;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001715000;3146.7302145;2;2;;;;0;0;0;0;1;;;;;0;2;;2;0;1
1100001717000;2745.5385887;1;2;;;;2;2;2;2;0;0;0;0;0;;2;;1;0;1
1100001723000;4148.6477708;0;;;;;0;0;0;1;0;;;;1;;2;;0;0;1
1100001724000;3277.539067;0;;;;;1;1;0;1;0;1;0;;0;;2;;0;1;1
1100001733000;2812.4186521;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001737000;3649.2794529;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
