ident_ind;ident_men;ident_log;NOI;SEXE;LIEN_01;LIEN_02;LIEN_03;LIEN_04;LIEN_05;LIEN_06;LIEN_07;LIEN_08;LIEN_09;LIEN_10;tr_age
110000053800002;1100000538000;110000053800;02;2;01;00;03;03;;;;;;;De 35 à 49 ans
110000053800003;1100000538000;110000053800;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000053800004;1100000538000;110000053800;04;1;02;02;10;00;;;;;;;Moins de 18 ans
110000054600001;1100000546000;110000054600;01;1;00;03;;;;;;;;;De 35 à 49 ans
110000054600002;1100000546000;110000054600;02;2;02;00;;;;;;;;;Moins de 18 ans
110000054700001;1100000547000;110000054700;01;2;00;;;;;;;;;;De 50 à 64 ans
110000054800001;1100000548000;110000054800;01;2;00;;;;;;;;;;De 50 à 64 ans
110000055300001;1100000553000;110000055300;01;1;00;01;;;;;;;;;De 25 à 34 ans
110000055300002;1100000553000;110000055300;02;2;01;00;;;;;;;;;De 18 à 25 ans
110000055700001;1100000557000;110000055700;01;2;00;;;;;;;;;;De 65 à 74 ans
110000056400001;1100000564000;110000056400;01;1;00;;;;;;;;;;75 ans et plus
110000056500001;1100000565000;110000056500;01;1;00;01;;;;;;;;;De 50 à 64 ans
110000056500002;1100000565000;110000056500;02;2;01;00;;;;;;;;;De 50 à 64 ans
110000061800001;1100000618000;110000061800;01;2;00;;;;;;;;;;De 50 à 64 ans
110000062300001;1100000623000;110000062300;01;2;00;;;;;;;;;;De 65 à 74 ans
110000062700001;1100000627000;110000062700;01;1;00;;;;;;;;;;De 50 à 64 ans
110000063300001;1100000633000;110000063300;01;1;00;;;;;;;;;;De 35 à 49 ans
110000063400001;1100000634000;110000063400;01;1;00;01;;;;;;;;;75 ans et plus
110000063400002;1100000634000;110000063400;02;2;01;00;;;;;;;;;75 ans et plus
110000063500001;1100000635000;110000063500;01;2;00;01;;;;;;;;;De 50 à 64 ans
110000063500002;1100000635000;110000063500;02;1;01;00;;;;;;;;;De 50 à 64 ans
110000064400001;1100000644000;110000064400;01;1;00;;;;;;;;;;De 65 à 74 ans
110000064500001;1100000645000;110000064500;01;2;00;01;03;03;40;40;40;03;03;03;De 35 à 49 ans
110000064500002;1100000645000;110000064500;02;1;01;00;03;03;50;50;50;03;03;03;De 35 à 49 ans
110000064500003;1100000645000;110000064500;03;1;02;02;00;10;50;50;50;10;10;10;De 25 à 34 ans
110000064500004;1100000645000;110000064500;04;1;02;02;10;00;50;50;50;10;10;10;De 18 à 25 ans
110000064500005;1100000645000;110000064500;05;1;40;50;50;50;00;50;50;50;50;50;De 18 à 25 ans
110000064500006;1100000645000;110000064500;06;2;40;50;50;50;50;00;50;50;50;50;De 18 à 25 ans
110000064500007;1100000645000;110000064500;07;1;40;50;50;50;50;50;00;50;50;50;De 18 à 25 ans
110000064500008;1100000645000;110000064500;08;2;02;02;10;10;50;50;50;00;10;10;De 18 à 25 ans
