IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_velo;KVELOCAT;KVELOLDD;KVELOBTP;KVELOFREQ;KVELOQUI;KVELOUTIL_FLAG;KVELOUTIL_A;KVELOUTIL_B;KVELOUTIL_C;KVELOUTIL_D;KVPARKVELO;KVKM1SEM
110000251300021;1100002513000;21;2058.8372164;1;2;2;2;1;1;0;0;0;1;3;0
110000254300021;1100002543000;21;3380.7833125;4;2;2;2;1;1;0;1;0;1;4;5
110000254300022;1100002543000;22;3380.7833125;4;2;2;3;2;1;0;1;0;0;4;3
110000262700021;1100002627000;21;1895.3561899;4;2;2;1;1;1;0;1;1;1;2;6
110000263400021;1100002634000;21;2343.620222;1;2;2;6;2;1;1;0;0;0;5;
110000263400022;1100002634000;22;2343.620222;1;2;2;6;1;1;1;0;0;0;5;
110000263400023;1100002634000;23;2343.620222;5;2;2;4;3;1;1;1;1;0;5;0
110000264700021;1100002647000;21;2047.7176972;4;2;2;2;1;1;0;1;1;0;4;36
110000265500023;1100002655000;23;1205.2355171;4;2;2;5;2;1;0;1;0;1;4;
110000265500022;1100002655000;22;1205.2355171;3;2;2;3;1;1;1;0;0;0;4;0
110000265500021;1100002655000;21;1205.2355171;1;2;2;4;1;1;1;0;0;0;4;0
110000271500021;1100002715000;21;1198.4485025;2;2;2;5;1;1;0;1;0;0;4;
110000271500022;1100002715000;22;1198.4485025;1;2;2;3;3;1;0;1;0;0;4;1
110000273700021;1100002737000;21;2573.4254117;4;2;1;1;1;1;0;1;1;1;6;60
110000273700022;1100002737000;22;2573.4254117;5;2;2;3;1;1;0;0;1;0;5;0
110000275500021;1100002755000;21;2653.8229287;2;2;2;4;4;1;0;1;0;1;2;0
110000275800021;1100002758000;21;1566.6331684;1;2;2;1;4;1;0;0;1;0;1;20
110000276300021;1100002763000;21;3472.1577983;1;2;2;6;1;1;0;1;0;0;5;
110000276500021;1100002765000;21;2603.7167515;1;2;2;6;2;1;0;1;0;0;3;
110000276800021;1100002768000;21;1521.7525182;4;2;2;6;1;1;0;1;0;0;3;
110000276800022;1100002768000;22;1521.7525182;4;2;2;6;2;1;0;1;0;0;3;
110000283400021;1100002834000;21;2489.9748778;1;2;2;6;1;1;0;1;0;0;5;
110000284700021;1100002847000;21;3066.6863008;2;2;2;6;3;1;0;1;0;0;5;
110000284700022;1100002847000;22;3066.6863008;1;2;2;6;5;1;0;1;0;0;5;
110000285700021;1100002857000;21;5221.9519381;1;2;2;5;1;1;1;0;0;0;1;
110000286300021;1100002863000;21;4842.2336105;4;2;2;2;2;1;0;1;0;0;5;3
110000293800023;1100002938000;23;2908.9367205;1;2;2;5;2;1;0;1;0;1;9;
110000293800022;1100002938000;22;2908.9367205;4;2;2;1;4;1;0;1;1;1;9;100
110000293800021;1100002938000;21;2908.9367205;1;2;2;4;3;1;0;1;0;0;9;0
110000294500021;1100002945000;21;2126.5661393;2;2;2;4;1;1;0;1;0;0;3;3
110000294700021;1100002947000;21;4652.8496508;6;2;2;3;1;1;0;1;0;0;4;0
110000294700023;1100002947000;23;4652.8496508;1;2;2;4;21;1;0;1;0;0;4;0
110000294700022;1100002947000;22;4652.8496508;3;2;2;4;21;1;0;1;0;0;4;0
110000296700021;1100002967000;21;3262.4587072;4;2;2;6;2;1;0;1;0;0;3;
110000306400021;1100003064000;21;3285.8693559;4;2;2;6;1;1;0;1;0;1;3;
110000306400022;1100003064000;22;3285.8693559;4;2;2;6;2;1;0;1;0;0;3;
110000306400023;1100003064000;23;3285.8693559;1;2;2;4;4;1;0;1;1;0;3;0
110000311400021;1100003114000;21;2543.5357409;1;2;2;1;1;1;0;1;1;0;1;48
110000312400021;1100003124000;21;2618.6991781;4;2;2;6;1;1;0;1;0;0;5;
110000312400022;1100003124000;22;2618.6991781;4;2;2;6;2;1;0;1;0;0;5;
110000321400021;1100003214000;21;1760.7201851;2;2;2;1;1;1;0;0;1;0;1;16
110000323700022;1100003237000;22;3728.3890107;4;2;2;1;2;1;0;0;1;0;1;75
110000323700021;1100003237000;21;3728.3890107;3;2;2;3;1;1;1;0;0;0;1;10
110000331700021;1100003317000;21;1973.3644718;4;2;2;2;1;1;0;1;0;0;1;20
