ident_ind;ident_men;ident_log;NOI;BS;HABRP;vague_enq;SEXE;ANAIS;AGE;AGEJANV;AG;AGEQ;AGQ;AGE6;AG6;LNAIS;NAIS7;ANARRIV;INATIO;NATIO7;COUPLE;COUPLRP;CONJOINT;ETAMATRI;PACS;LIENTYP;LIENPERS;ENFANT;ENFRP;LIEN_01;LIEN_02;LIEN_03;LIEN_04;LIEN_05;LIEN_06;LIEN_07;LIEN_08;LIEN_09;LIEN_10;AIDE1E;IDENTAID;TYPOLOG;JOURAN;JOURSEM;MOISAN;JOUR2AN;DOLOG;IDOLOG;IPROPLOC;AUTLOG;LOGCOL;TYPLOGCO;TYPLOGCO_A;TYPLOGCO_B;TYPLOGCO_C;TYPLOGCO_D;TYPLOGCO_E;TYPLOGCO_F;TYPLOGCO_G;TYPLOGCO_H;LOGIND;NAUTLOG_IND;NOLOG1_IND;TYPOLOGD1;JOURAND1;JOURSEMD1;MOISAND1;JOUR2AND1;DOLOGD1;NOLOG2_IND;TYPOLOGD2;JOURAND2;JOURSEMD2;MOISAND2;JOUR2AND2;DOLOGD2;HANDICAP;IGREF;PRACT;IPRAN;LIENPREF;LIENPRRP;FAMPRINC;CS42;CS24;SITUA;ACTIF;ACTOCCUP;ACTOCCUPE;TRAVAIL;TRAVAILNR;ACTIVANTE;STATUT;RECHEMPLOI;CS_ACT;TYPEMPLOI;TITULAIREFP;TEMPTRAV;SUPERVISION;CLASSIF;FONCTION;SALARIES;STATUTANTE;SUPERVISANTE;CLASSIFANTE;CS_ANTE;STATUTCD;CLASSIFCD;CS_DCD;DIP11;DDIPL;MER1E;MER2E;PER1E;PER2E;APART;TYPFAM
110000031300002;1100000313000;110000031300;02;0;1;1;2;1983;34;34;35;30;35;30;30;2;5;2008;3;5;1;1;1;2;;;;2;2;01;00;03;03;03;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;2;2;01;01;1;85;82;6;2;2;0;2;2;2;;3;;;;;;;;;;;;;;;;71;7;2;;2;;2;1
110000031400001;1100000314000;110000031400;01;0;1;1;2;1986;32;31;32;30;30;30;30;1;1;;1;1;3;2;;1;2;;;2;2;00;03;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;43;41;1;1;1;0;1;;;3;3;43;6;;1;3;;;;;;;;;;;33;3;2;;2;;2;3
110000031500001;1100000315000;110000031500;01;0;1;1;2;1969;49;48;49;45;45;40;40;1;1;;1;1;1;1;2;2;;;;2;2;00;01;03;03;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;01;1;34;32;1;1;1;0;1;;;1;3;34;6;1;1;3;6;9;;;;;;;;;10;1;2;;2;;2;1
110000032500002;1100000325000;110000032500;02;0;1;2;2;1958;60;59;60;60;60;60;60;1;1;;1;1;1;1;1;2;;;;2;2;01;00;03;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;1;2;2;2;01;01;1;52;51;1;1;1;0;1;;;1;3;52;6;1;1;3;;;;;;;;;;;71;7;3;;3;;2;1
110000032600001;1100000326000;110000032600;01;0;1;2;2;1969;49;48;49;45;45;40;40;1;1;;1;1;1;1;2;2;;;;2;2;00;01;03;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;01;1;48;48;1;1;1;0;1;;;3;3;48;6;;1;3;5;;;;;;;;;;50;5;3;;3;;2;1
110000032800003;1100000328000;110000032800;03;0;1;2;1;2004;14;13;14;10;10;00;00;1;1;;;;;2;;1;;;;1;1;02;21;00;10;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;0;2;2;02;02;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;2;3
110000033300001;1100000333000;110000033300;01;0;1;3;2;1962;55;55;56;55;55;50;50;1;1;;1;1;3;2;;1;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;56;56;1;1;1;0;1;;;3;3;56;6;;1;3;;;;;;;;;;;71;7;2;;2;;;0
110000033400001;1100000334000;110000033400;01;0;1;3;2;1969;49;48;49;45;45;40;40;1;1;;1;1;1;1;2;2;;;;2;2;00;01;03;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;2;2;01;01;1;42;41;1;1;1;0;1;;;1;3;42;6;1;1;3;6;;;;;;;;;;10;1;3;;2;;2;1
110000033500001;1100000335000;110000033500;01;0;1;3;2;1982;36;35;36;35;35;30;30;1;1;;1;1;1;1;2;2;;;;2;2;00;01;03;03;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;01;1;54;54;1;1;1;0;1;;;3;3;54;6;;2;3;9;;;;;;;;;;31;3;2;;2;;2;1
110000033800001;1100000338000;110000033800;01;0;1;3;2;1930;88;87;88;75;75;60;60;1;1;;1;1;3;2;;1;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;1;1;1;2;00;00;1;86;82;5;2;2;0;2;2;2;;3;;;;;;;;;;;;;;;;71;7;3;;3;;;0
110000034400003;1100000344000;110000034400;03;0;1;4;1;1994;24;23;24;20;20;15;15;1;1;;1;1;3;2;;1;2;;;1;1;02;02;00;10;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;0;2;2;02;02;1;37;36;1;1;1;0;1;;;3;3;37;6;;1;3;7;;;;;;;;;;31;3;1;2;1;1;2;1
110000034700001;1100000347000;110000034700;01;0;1;4;2;1950;68;67;68;65;65;60;60;2;5;1960;2;2;1;1;2;1;2;;;2;2;00;01;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;2;2;01;01;1;46;46;5;2;2;0;1;;;7;3;46;;;;;;;0;;;;;;;;60;6;3;;3;;2;0
110000035300001;1100000353000;110000035300;01;0;1;5;2;1969;49;49;50;45;50;40;50;2;5;1986;2;2;3;2;;4;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;52;51;4;1;2;0;2;2;1;;2;;;;;;;;;2;3;8;52;;;;60;6;2;;3;;;0
