IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;KVROUL;cylindree_fin;energie_fin;energie_agrege;hybride;energie_statinfo;energie_CritAir;critair;puis_fisc_fin;ANNEE_1mec;age;ANNEE_acq;dur_acq;KVAQUIV;KVAQUINO01;KVAQUINO02;KVAQUINO03;KVAQUINO04;KVAQUINO05;KVAQUINO06;KVAQUINO07;KVAQUINO08;KVAQUINO09;KVAQUINO10;KVAQUINO11;KVAQUINO12;KVAQUINO13;KVAQUINO14;KVAQUINO15;KVAQUINO16;KVAQUINO17;KVAQUINO18;KVAQUINO19;KVAQUINO20;KVAQUINO21;KVQUICONV01;KVQUICONV02;KVQUICONV03;KVQUICONV04;KVQUICONV05;KVQUICONV06;KVQUICONV07;KVQUICONV08;KVQUICONV09;KVQUICONV10;KVQUICONV11;KVQUICONV12;KVQUICONV13;KVQUICONV14;KVQUICONV15;KVQUICONV16;KVQUICONV17;KVQUICONV18;KVQUICONV19;KVQUICONV20;KVQUICONV21;KVQUI9COV;KVQUICONPV;KVKMV;indic_km_corr;KVKMVT;KVKM1ANV;indic_km_annu_corr;KVKM1ANVT;KVCONS;KVGAREJOUR;KVGARENUIT;KVGARELEC_FLAG;KVGARELEC_A;KVGARELEC_B
110000031500001;1100000315000;01;1013.9781331;1;1;ES;1;;2;4;2;4;2010;98;2010;98;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;67840.607936;ESTIMAT;3;8387.5075169;ESTIMAT;3;6;1;1;1;1;0
110000031500002;1100000315000;02;1013.9781331;1;1.6;ES;1;;2;4;2;7;2007;136;2008;114;1;1;2;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;130845.24471;ESTIMAT;5;3937.1552878;ESTIMAT;1;8;1;1;1;1;0
110000032500002;1100000325000;02;879.69303895;1;1.6;GO;2;;4;2;3;5;2009;103;2009;103;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;96020.272727;INTERPO;4;8009.4162762;INTERPO;3;6.5;2;2;1;0;0
110000032500001;1100000325000;01;879.69303895;1;1.4;ES;1;;2;4;3;6;1997;255;2003;179;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;113124.06052;INTERPO;5;3980.8596974;INTERPO;1;7;2;2;1;0;0
110000032600001;1100000326000;01;1715.123018;1;1.6;GO;2;;4;2;3;6;2009;114;2009;106;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;265394.06086;INTERPO;7;29786.625173;INTERPO;6;5;4;4;1;1;0
110000032600002;1100000326000;02;1715.123018;1;0;ES;1;;2;4;N;4;1996;267;2018;2;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;161326.25265;ESTIMAT;6;3809.060676;ESTIMAT;1;5;4;4;1;1;0
110000033400001;1100000334000;01;1990.9765025;1;1.1;ES;1;;2;4;2;4;2012;80;2012;80;1;1;;;;;;;;;;;;;;;;;;;;;1;2;3;;;;;;;;;;;;;;;;;;;4;1;39542.33795;INTERPO;2;9054.2747664;INTERPO;3;5.2;3;3;1;0;0
110000033500001;1100000335000;01;1361.1064327;1;1;ES;1;;2;4;3;4;1999;234;2016;27;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;107234.24138;INTERPO;5;15514.732243;INTERPO;5;6.7;4;4;1;0;0
110000033500002;1100000335000;02;1361.1064327;1;1.6;GO;2;;4;2;2;5;2012;79;2013;67;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;193989.77403;ESTIMAT;6;27454.983891;ESTIMAT;6;5.2;2;2;1;0;0
110000034400002;1100000344000;02;3336.4953831;1;1.2;ES;1;;2;4;1;4;2018;9;2018;8;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;8860.606073;ESTIMAT;1;9712.0757256;ESTIMAT;3;6;2;2;1;0;0
110000034400001;1100000344000;01;3336.4953831;1;1.2;ES;1;;2;4;1;5;2015;37;2015;41;1;3;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;4;;35287.199063;INTERPO;2;10983.606031;INTERPO;4;6;2;2;1;0;0
110000034400003;1100000344000;03;3336.4953831;1;1.5;GO;2;;4;2;2;6;2018;6;2018;4;1;1;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;1;9944.0601292;ESTIMAT;1;10899.645487;ESTIMAT;4;6.2;2;2;1;0;0
110000034400004;1100000344000;04;3336.4953831;1;1.4;GO;2;;4;2;3;4;2008;126;2016;30;1;4;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;4;;127686.14429;INTERPO;5;9800;ENQUETE;3;5.9;2;2;1;0;0
110000035400001;1100000354000;01;2703.7722325;1;1.4;ES;1;;2;4;1;5;2015;46;2016;36;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;3;1;68710.647977;INTERPO;3;16861.54367;INTERPO;5;9999;1;1;1;0;0
110000035500002;1100000355000;02;2288.6995933;1;;ES;1;;2;4;N;5;1996;271;2010;102;1;1;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;2;121613.80595;INTERPO;5;4291.6042112;INTERPO;2;9999;4;4;1;0;0
110000035500001;1100000355000;01;2288.6995933;1;1.9;GO;2;;4;2;4;7;2005;164;2007;142;1;2;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;1;90912.4;INTERPO;4;14647.461506;INTERPO;4;5;2;2;1;0;0
