IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;ANNEE_1mec;ANNEE_acq;age_mois_veh;KVAVCAT2R;KVCYLIND2R;KVQUICON2R01;KVQUICON2R02;KVQUICON2R03;KVQUICON2R04;KVQUICON2R05;KVQUICON2R06;KVQUICON2R07;KVQUICON2R08;KVQUICON2R09;KVQUICON2R10;KVQUICON2R11;KVQUICON2R12;KVQUICON2R13;KVQUICON2R14;KVQUICON2R15;KVQUICON2R16;KVQUICON2R17;KVQUICON2R18;KVQUICON2R19;KVQUICON2R20;KVQUICON2R21;KVQUICONP2R;KVPARK2R;KVKM1AN2R;KVKM1AN2RT
230000065600006;2300000656000;06;1399.9722561;2012;.;75;1;1293;2;;;;;;;;;;;;;;;;;;;;;;1;;4
230000071200006;2300000712000;06;984.56083004;2012;2016;70;1;1170;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
230000072200006;2300000722000;06;1541.0584929;1997;2014;256;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
230000075500006;2300000755000;06;1150.1486426;.;.;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;2
230000092200006;2300000922000;06;1222.8832908;1994;2015;289;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
230000092500006;2300000925000;06;1685.182766;2009;2011;109;1;998;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
230000093100006;2300000931000;06;1159.1432853;2007;2003;135;2;49.9;1;;;;;;;;;;;;;;;;;;;;;;1;;9
230000093100007;2300000931000;07;1159.1432853;2010;2014;94;1;49;3;;;;;;;;;;;;;;;;;;;;;;1;8000;
230000095500006;2300000955000;06;1280.9288424;.;2018;;1;900;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
230000101500006;2300001015000;06;1082.0242205;2012;2012;67;2;49;1;;;;;;;;;;;;;;;;;;;;;;1;;5
230000105500006;2300001055000;06;2483.0755556;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
230000111100006;2300001111000;06;1116.936014;2009;2016;108;1;1170;2;;;;;;;;;;;;;;;;;;;;;;1;200;
230000116500006;2300001165000;06;1002.8551273;2008;2010;133;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
230000126500006;2300001265000;06;1485.3273975;.;.;;1;500;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
230000132200006;2300001322000;06;2229.5256563;2012;2013;73;1;1247;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
230000146200006;2300001462000;06;1266.0572812;2017;2017;26;2;49;3;;;;;;;;;;;;;;;;;;;;;;1;800;
230000151500006;2300001515000;06;2243.1721803;.;.;;1;;3;;;;;;;;;;;;;;;;;;;;;;2;;2
230000152300007;2300001523000;07;3387.6248737;2017;2018;7;3;50;2;;;;;;;;;;;;;;;;;;;;;;1;2200;
230000152300006;2300001523000;06;3387.6248737;2011;2011;90;3;499;1;;;;;;;;;;;;;;;;;;;;;;1;500;
230000156200006;2300001562000;06;1469.1602093;.;2018;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;2
230000161200006;2300001612000;06;1943.9046765;1997;2017;251;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
230000163200006;2300001632000;06;1023.1065806;2006;2017;143;1;1584;1;;;;;;;;;;;;;;;;;;;;;;1;3200;
230000166200006;2300001662000;06;1532.7165988;2009;2018;114;1;599;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
230000171500006;2300001715000;06;1788.7881424;2006;2008;137;2;399;1;;;;;;;;;;;;;;;;;;;;;;1;38000;
230000173300006;2300001733000;06;3340.5203695;.;.;;2;40;1;;;;;;;;;;;;;;;;;;;;;;2;;2
230000175500006;2300001755000;06;1029.0583074;2010;2010;107;1;124.7;1;;;;;;;;;;;;;;;;;;;;;;1;200;
230000175500007;2300001755000;07;1029.0583074;2014;2014;50;1;123;1;;;;;;;;;;;;;;;;;;;;;;1;;1
230000176500006;2300001765000;06;1395.480535;2018;2018;7;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
230000195500006;2300001955000;06;2169.8092437;2010;2018;104;2;399;3;;;;;;;;;;;;;;;;;;;;;;1;;2
230000206500006;2300002065000;06;1424.1879869;2010;2016;105;1;124.7;1;;;;;;;;;;;;;;;;;;;;;;1;13000;
230000213400006;2300002134000;06;2052.8585826;2014;2018;47;2;493;2;;;;;;;;;;;;;;;;;;;;;;1;;3
230000234500006;2300002345000;06;970.6145659;2012;2012;76;1;1731;1;;;;;;;;;;;;;;;;;;;;;;1;9000;
230000244400006;2300002444000;06;1761.899154;.;.;;1;250;1;;;;;;;;;;;;;;;;;;;;;;1;15000;
230000244500007;2300002445000;07;1421.2340567;2014;2018;51;2;49;3;;;;;;;;;;;;;;;;;;;;;;1;3000;
230000244500006;2300002445000;06;1421.2340567;1998;2017;247;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
230000246200006;2300002462000;06;1404.9487753;.;.;;1;1100;1;;;;;;;;;;;;;;;;;;;;;;1;6000;
230000246200007;2300002462000;07;1404.9487753;.;2019;;2;49;4;;;;;;;;;;;;;;;;;;;;;;1;;2
230000254500006;2300002545000;06;956.57738446;2017;2017;19;1;500;1;;;;;;;;;;;;;;;;;;;;;;1;4300;
230000255500006;2300002555000;06;2777.5064528;1997;.;264;1;;3;;;;;;;;;;;;;;;;;;;;;;1;2000;
230000281500006;2300002815000;06;1891.6804325;2016;2016;24;2;298.9;1;;;;;;;;;;;;;;;;;;;;;;1;6000;
230000285500006;2300002855000;06;1141.5405976;2003;2003;185;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
230000286500006;2300002865000;06;2959.9585554;2008;.;124;1;600;5;;;;;;;;;;;;;;;;;;;;;;2;;3
230000291500006;2300002915000;06;2342.2103251;2010;2011;97;2;;1;;;;;;;;;;;;;;;;;;;;;;2;21000;
230000296200007;2300002962000;07;1255.3551609;2014;2019;57;1;249;1;;;;;;;;;;;;;;;;;;;;;;1;30;
230000296200006;2300002962000;06;1255.3551609;.;2018;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
230000303500006;2300003035000;06;2479.1996652;2017;2017;14;1;1199;2;;;;;;;;;;;;;;;;;;;;;;2;33000;
230000312500006;2300003125000;06;1186.821934;.;2010;;1;175;2;;;;;;;;;;;;;;;;;;;;;;1;30;
230000372400006;2300003724000;06;1249.4093063;1997;1999;258;1;;1;;;;;;;;;;;;;;;;;;;;;;1;50;
230000395400006;2300003954000;06;3580.9564817;2018;2018;11;1;689;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
230000423500006;2300004235000;06;1833.8828377;1987;1995;372;1;;2;;;;;;;;;;;;;;;;;;;;;;1;100;
230000441400006;2300004414000;06;2348.1425195;2017;2017;6;2;493;2;;;;;;;;;;;;;;;;;;;;;;2;;2
230000441500006;2300004415000;06;1348.5115443;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;2;;6
230000442500006;2300004425000;06;1768.1581153;2009;2011;106;1;1802;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
230000442500008;2300004425000;08;1768.1581153;2003;2017;182;2;176;1;;;;;;;;;;;;;;;;;;;;;;1;100;
230000442500009;2300004425000;09;1768.1581153;2002;2013;187;2;;1;;;;;;;;;;;;;;;;;;;;;;1;300;
230000442500007;2300004425000;07;1768.1581153;1986;2014;384;1;;1;;;;;;;;;;;;;;;;;;;;;;1;100;
230000444500006;2300004445000;06;933.25088698;2004;2005;168;1;645;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
